Q;R
0.00000021128267359602;0.00740195999691565
0.00000031294123699991;0.00988495904662559
0.00000041405677112104;0.0120337784077759
0.00000080132972361933;0.0222194686093953
0.00000099167698902096;0.021337607820154
0.000001;0.0316227766016838
0.00000155082435729112;0.0365438307095726
0.00000192724300975181;0.047962799332117
0.00000192724300975181;0.0337006432927193
0.000003064702938518;0.0547890117959395
0.00000285453511736753;0.0618667477609444
0.00000286648895182105;0.0442311919748617
0.00000376112358863468;0.0587278661318949
0.00000377687391115277;0.077078751838396
0.00000463512772477875;0.071081861718273
0.00000559411509534713;0.0779757927926958
0.00000561754137073497;0.0855383372729866
0.0000074326447479534;0.113573335834311
0.00000900799111584291;0.114232306201635
